Festival_Year   	Ticket_Category   	Payment_Method	Tickets_Sold	Revenue   	Total_Category_Revenue	Total_Category_Tickets	Total_Year_Revenue	
2025	backstage	Debit Card	186	127140.00	355062.00	534	608219.00	
2025	backstage	Bank Transfer	177	115031.00	355062.00	534	608219.00	
2025	backstage	Credit Card	171	112891.00	355062.00	534	608219.00	
2025	general	Bank Transfer	187	23405.00	66796.00	535	608219.00	
2025	general	Credit Card	175	22274.00	66796.00	535	608219.00	
2025	general	Debit Card	173	21117.00	66796.00	535	608219.00	
2025	VIP	Bank Transfer	156	62625.00	186361.00	465	608219.00	
2025	VIP	Debit Card	152	62020.00	186361.00	465	608219.00	
2025	VIP	Credit Card	157	61716.00	186361.00	465	608219.00	
2024	backstage	Debit Card	40	26475.00	68522.00	99	124403.00	
2024	backstage	Credit Card	29	21724.00	68522.00	99	124403.00	
2024	backstage	Bank Transfer	30	20323.00	68522.00	99	124403.00	
2024	general	Bank Transfer	40	5392.00	14261.00	109	124403.00	
2024	general	Credit Card	35	4575.00	14261.00	109	124403.00	
2024	general	Debit Card	34	4294.00	14261.00	109	124403.00	
2024	VIP	Bank Transfer	32	14755.00	41620.00	97	124403.00	
2024	VIP	Debit Card	33	14502.00	41620.00	97	124403.00	
2024	VIP	Credit Card	32	12363.00	41620.00	97	124403.00	
2023	backstage	Bank Transfer	17	10386.00	26623.00	41	45392.00	
2023	backstage	Debit Card	15	10199.00	26623.00	41	45392.00	
2023	backstage	Credit Card	9	6038.00	26623.00	41	45392.00	
2023	general	Debit Card	13	1795.00	5033.00	41	45392.00	
2023	general	Credit Card	14	1661.00	5033.00	41	45392.00	
2023	general	Bank Transfer	14	1577.00	5033.00	41	45392.00	
2023	VIP	Debit Card	12	5228.00	13736.00	33	45392.00	
