Festival_Date   	Personnel_Role	Required_Staff	
2018-09-02	assistant	48	
2018-09-02	security	118	
2020-08-02	assistant	185	
2020-08-02	security	460	
2021-07-07	assistant	104	
2021-07-07	security	260	
2021-07-08	assistant	56	
2021-07-08	security	138	
2021-07-09	assistant	64	
2021-07-09	security	160	
2021-07-10	assistant	180	
2021-07-10	security	445	
2021-07-11	assistant	64	
2021-07-11	security	160	
2022-12-14	assistant	116	
2022-12-14	security	284	
2022-12-15	assistant	70	
2022-12-15	security	172	
2022-12-16	assistant	60	
2022-12-16	security	144	
2022-12-17	assistant	48	
2022-12-17	security	116	
2022-12-18	assistant	96	
2022-12-18	security	240	
2023-01-02	assistant	93	
2023-01-02	security	231	
2024-03-25	assistant	76	
2024-03-25	security	188	
2024-03-26	assistant	112	
2024-03-26	security	276	
2024-03-27	assistant	62	
2024-03-27	security	154	
2025-02-09	assistant	16	
2025-02-09	security	40	
2025-02-10	assistant	148	
2025-02-10	security	368	
2025-02-11	assistant	116	
2025-02-11	security	284	
2025-06-04	assistant	156	
2025-06-04	security	384	
2025-06-05	assistant	40	
2025-06-05	security	96	
2025-06-06	assistant	152	
2025-06-06	security	380	
2025-06-07	assistant	175	
2025-06-07	security	430	
2025-06-08	assistant	180	
2025-06-08	security	450	
2025-06-09	assistant	111	
2025-06-09	security	276	
2025-06-10	assistant	80	
2025-06-10	security	200	
2025-06-11	assistant	72	
2025-06-11	security	180	
2025-07-21	assistant	52	
2025-07-21	security	130	
2025-07-22	assistant	175	
2025-07-22	security	430	
2025-07-23	assistant	148	
2025-07-23	security	368	
